id;actsArr;stageID;id-name;name;date;start_time;end_time;type;status;tags;description;ticket;url
363;123;3;;;30.05.2026;30.05.2026 16:30;30.05.2026 17:00;Performance;;;Duo flexoncirc auf der B[ue]hne Zylinder;;
364;124;3;;;30.05.2026;30.05.2026 17:30;30.05.2026 18:00;Musik;;;sound gurus auf der B[ue]hne Zylinder;;
365;117;3;;;30.05.2026;30.05.2026 18:30;30.05.2026 19:00;Performance;;;Kuutenkidou auf der B[ue]hne Zylinder;;
366;120;3;;;30.05.2026;30.05.2026 19:30;30.05.2026 20:00;Performance;;;The Funky Monkeys auf der B[ue]hne Zylinder;;
367;118;3;;;30.05.2026;30.05.2026 20:30;30.05.2026 21:00;Performance;;;Duo Masawa auf der B[ue]hne Zylinder;;
368;112;3;;;30.05.2026;30.05.2026 21:30;30.05.2026 22:00;Performance;;;Tridiculous auf der B[ue]hne Zylinder;;
369;138;4;;;30.05.2026;30.05.2026 13:00;30.05.2026 13:30;Performance;;;Tanzensemble Chemnitz auf der B[ue]hne Sombrero;;
370;122;4;;;30.05.2026;30.05.2026 14:00;30.05.2026 14:30;Performance;;;Circus unARTiq auf der B[ue]hne Sombrero;;
371;139;4;;;30.05.2026;30.05.2026 15:00;30.05.2026 15:30;Musik;;;sleepwalker's station auf der B[ue]hne Sombrero;;
372;115;4;;;30.05.2026;30.05.2026 16:00;30.05.2026 16:30;Performance;;;Satya Bella auf der B[ue]hne Sombrero;;
373;117;4;;;30.05.2026;30.05.2026 17:00;30.05.2026 17:30;Performance;;;Kuutenkidou auf der B[ue]hne Sombrero;;
374;122;4;;;30.05.2026;30.05.2026 18:00;30.05.2026 18:30;Performance;;;Circus unARTiq auf der B[ue]hne Sombrero;;
375;140;4;;;30.05.2026;30.05.2026 19:00;30.05.2026 19:30;Musik;;;teget auf der B[ue]hne Sombrero;;
376;122;4;;;30.05.2026;30.05.2026 20:00;30.05.2026 20:30;Performance;;;Circus unARTiq auf der B[ue]hne Sombrero;;
377;124;4;;;30.05.2026;30.05.2026 21:00;30.05.2026 22:00;Musik;;;sound gurus auf der B[ue]hne Sombrero;;
378;141;5;;;30.05.2026;30.05.2026 15:00;30.05.2026 15:30;Musik;;;Akkordeon Harmonists auf der B[ue]hne Porkpie;;
379;126;5;;;30.05.2026;30.05.2026 16:00;30.05.2026 16:30;Musik;;;two chords auf der B[ue]hne Porkpie;;
380;140;5;;;30.05.2026;30.05.2026 17:00;30.05.2026 17:30;Musik;;;teget auf der B[ue]hne Porkpie;;
381;142;5;;;30.05.2026;30.05.2026 18:00;30.05.2026 18:30;Musik;;;Andreas Liebert auf der B[ue]hne Porkpie;;
382;139;5;;;30.05.2026;30.05.2026 19:00;30.05.2026 19:30;Musik;;;sleepwalker's station auf der B[ue]hne Porkpie;;
383;135;5;;;30.05.2026;30.05.2026 20:00;30.05.2026 20:30;Musik;;;Crepes Sucette auf der B[ue]hne Porkpie;;
384;142;5;;;30.05.2026;30.05.2026 21:00;30.05.2026 21:30;Musik;;;Andreas Liebert auf der B[ue]hne Porkpie;;
385;127;6;;;30.05.2026;30.05.2026 14:00;30.05.2026 14:30;Performance;;;This Maag auf der B[ue]hne Cowboyhut;;
